Packet_Num,Time,Source,Destination,Protocol,Length
"4981","48.290345","192.168.3.101","192.168.20.2","UDP","1163"
"4982","48.290376","192.168.3.101","192.168.20.2","UDP","1163"
"4983","48.295417","192.168.3.101","192.168.20.2","UDP","1163"
"4984","48.295448","192.168.3.101","192.168.20.2","UDP","1163"
"4985","48.300513","192.168.3.101","192.168.20.2","UDP","1163"
"4986","48.300544","192.168.3.101","192.168.20.2","UDP","1163"
"4987","48.305571","192.168.3.101","192.168.20.2","UDP","1163"
"4988","48.305596","192.168.3.101","192.168.20.2","UDP","1163"
"4989","48.310695","192.168.3.101","192.168.20.2","UDP","1163"
"4990","48.311997","192.168.20.2","192.168.3.101","UDP","88"
"4991","48.326402","192.168.3.101","192.168.20.2","UDP","112"
"4992","48.339085","192.168.20.2","192.168.3.101","UDP","100"
"4994","48.341524","192.168.3.102","192.168.20.3","SIP","360"
"4996","48.371328","192.168.20.3","192.168.3.102","SIP","410"
"4997","48.371346","192.168.20.3","192.168.3.102","SIP","410"
"4998","48.371699","192.168.3.102","192.168.20.3","SIP","352"
"4999","48.372008","192.168.20.2","192.168.3.101","UDP","88"
"5000","48.416504","192.168.3.101","192.168.20.2","UDP","112"
"5002","48.433734","192.168.3.102","192.168.20.3","SIP","360"
"5004","48.468303","192.168.20.3","192.168.3.102","SIP","410"
"5005","48.468314","192.168.20.3","192.168.3.102","SIP","410"
"5006","48.468634","192.168.3.102","192.168.20.3","SIP","352"
"5007","48.518011","192.168.3.101","192.168.20.2","UDP","1175"
"5008","48.518041","192.168.3.101","192.168.20.2","UDP","1175"
"5009","48.518058","192.168.3.101","192.168.20.2","UDP","1175"
"5010","48.523129","192.168.3.101","192.168.20.2","UDP","1175"
"5011","48.523159","192.168.3.101","192.168.20.2","UDP","1175"
"5012","48.528171","192.168.3.101","192.168.20.2","UDP","1175"
"5013","48.528197","192.168.3.101","192.168.20.2","UDP","1175"
"5014","48.533334","192.168.3.101","192.168.20.2","UDP","1175"
"5015","48.533366","192.168.3.101","192.168.20.2","UDP","1175"
